,Descrição,N° de empresas
269,"Fabricação de malas, valises e outros artefatos para viagem, de qualquer material (3)",0
270,"Fabricação de mochilas, escolares ou não, de qualquer material (3)",0
271,"Fabricação de necessaire, estojo (3)",0
272,Fabricação de pastas de couro,0
273,Fabricação de cola animal,0
274,"Beneficiamento de (em estabelecimento não agrícola) algodão cardado, penteado, etc.",0
275,Descaroçamento de (em estabelecimento não agrícola) algodão,0
276,Produção de algodão cardado ou penteado,0
277,Fabricação de algodão em pasta,0
278,Fabricação de algodão em pluma,0
279,Desperdícios do beneficiamento do algodão,0
280,"Fabricação de fibra de algodão moldada, para estofamento (mantas de línteres, etc.)",0
281,Beneficiamento de fibras de algodão (em estabelecimento não agrícola),0
282,Produção de fibras de algodão beneficiadas,0
283,Resíduos do beneficiamento da fibra de algodão,0
284,Beneficiamento de crina vegetal,0
285,"Beneficiamento de crinas, pelos e cerdas",0
286,Obtenção de desperdícios de lã,0
287,Obtenção de desperdícios de seda,0
288,"Estopas ou outros resíduos do beneficiamento de fibras têxteis naturais, exceto algodão",0
289,Produção de fibra de lã lavada,0
290,Beneficiamento de fibras de coco,0
291,Fabricação de fibras de cânhamo beneficiadas,0
292,Beneficiamento de fibras de juta,0
293,Beneficiamento de fibras de linho,0
294,Beneficiamento de fibras de malva,0
295,Beneficiamento de fibras de rami,0
296,Beneficiamento de fibras de sisal (agave),0
297,Beneficiamento de fibras têxteis vegetais (exceto algodão),0
298,Fabricação de lanolina,0
299,"Fabricação de lã (cardada, penteada, tops, etc)",0
300,Beneficiamento de lã,0
301,Produção de pelos finos e grosseiros,0
302,"Obtenção de resíduos da fiação de fibras têxteis naturais, exceto algodão",0
303,Obtenção de resíduos de lã,0
304,Obtenção de resíduos de seda,0
305,Produção de seda crua não fiada,0
306,Produção de suarda,0
307,Obtenção de subprodutos resultantes do beneficiamento de fibras têxteis,0
308,"Fabricação de fibras sintéticas descontínuas cardadas, penteadas ou preparadas de outro modo para fiação",0
309,Fiação de algodão,0
310,Serviço de fiação de algodão,0
311,"Fabricação de fio de algodão cru ou acabado (beneficiado), inclusive mescla",0
312,Fabricação de fios de algodão retorcidos ou retorcidos múltiplos,0
313,Fabricação de fios de algodão singelos (simples),0
314,"Fabricação de fios de algodão, beneficiados ou não",0
315,"Obtenção de resíduos (estopas, desperdícios) da fiação de algodão",0
316,Fiação de caroá,0
317,Fiação de cânhamo,0
318,"Fabricação de fio de juta cru ou acabado (beneficiado), inclusive mescla",0
319,"Fabricação de fio de linho cru ou acabado (beneficiado), inclusive mescla",0
320,"Fabricação de fio de lã cru ou acabado (beneficiado), inclusive mescla",0
321,"Fabricação de fio de rami cru ou acabado (beneficiado), inclusive mescla",0
322,"Fabricação de fio de seda cru ou acabado (beneficiado), inclusive mescla",0
323,"Fabricação de fio de sisal (agave) cru ou acabado (beneficiado), inclusive mescla",0
324,"Fabricação de fios caroá, beneficiados ou não",0
325,Fabricação de fios de papel,0
326,Fiação de juta,0
327,Fiação de linho,0
328,Fiação de lã,0
329,Fiação de rami,0
330,Fiação de seda,0
331,Fiação de sisal,0
332,"Fabricação de desperdícios da fiação de fibras artificiais ou sintéticas, descontínuas",0
333,O serviço de fiação de fibras artificiais ou sintéticas,0
334,"Fabricação de fio de fibras artificiais cru ou acabado (beneficiado), inclusive mesclas",0
335,"Fabricação de fio de fibras sintéticas cru ou acabado (beneficiado), inclusive mescla",0
336,"Fabricação de fios de filamentos artificiais ou sintéticos (exceto linhas para costurar), acondicionados para venda a varejo",0
337,"Fabricação de fios de nylon (náilon) ou de outras poliamidas, de poliéster ou de outros filamentos sintéticos",0
338,Resíduos da fiação de fibras artificiais ou sintéticas,0
339,Fabricação de linhas de algodão para costurar e bordar,0
340,Fabricação de linhas de fios artificiais ou sintéticos para costurar e bordar,0
341,Fabricação de linhas de linho e rami para costurar e bordar,0
342,Fabricação de linhas de lã para costurar e bordar,0
343,Fabricação de linhas de seda animal para costurar e bordar,0
344,Fabricação de linhas para costurar e bordar,387
345,Fabricação de linhas para crochê,0
346,"Confecção de artefatos de tecidos de algodão para cama, mesa ou banho (quando integrada à tecelagem)",0
347,Confecção de artefatos de tecidos de algodão para copa e cozinha (quando integrada à tecelagem),0
348,Confecção de (quando integrada a tecelagem) artefatos de tecidos de algodão para uso doméstico,0
349,"Confecção de cobertores, mantas ou edredons de algodão (quando integrada à tecelagem)",0
350,Confecção de colchas de algodão (quando integrada à tecelagem),0
351,Confecção de lençóis e/ou fronhas de tecidos de algodão (quando integrada à tecelagem),0
352,"Confecção de roupas de cama, mesa ou banho de tecidos de algodão (quando integrada à tecelagem)",0
353,Confecção de sacos de algodão para embalagem (quando integrada à tecelagem),0
354,Serviço de tecelagem plana de algodão,0
355,"Fabricação de tecido algodão tintos ou estampados, inclusive mescla",0
356,Fabricação de tecido de índigo,0
357,Fabricação de tecidos atoalhados (felpudos) de algodão,0
358,Fabricação de tecidos de algodão tipo gaze,0
359,"Fabricação de tecidos planos de algodão, inclusive mesclas, crus ou acabados (beneficiados)",0
360,Fabricação de tecidos rendados de algodão,0
361,Fabricação de tecidos tufados,0
362,"Confecção de toalhas de banho de tecidos de algodão, quando integrada a tecelagem",0
363,Confecção de toalhas de banho ou de rosto de tecidos de algodão (quando integrada à tecelagem),0
364,Confecção de toalhas de mesa ou de cozinha de tecidos de algodão (quando integrada à tecelagem),0
365,Fabricação de veludos e pelúcias de algodão,0
366,Confecção de artefatos de tecidos de fibras naturais (exceto algodão) para uso doméstico (quando integrada a tecelagem),0
367,"Confecção de artefatos de tecidos fibras naturais (exceto algodão), para banho, cama e mesa, copa e cozinha (quando integrada a tecelagem)",0
368,Tecelagem de caroá,0
369,"Confecção de cobertores, mantas e edredons de fibras naturais (exceto algodão) (quando integrada a tecelagem)",0
370,Confecção de colchas de fibras naturais (exceto algodão) (quando integrada a tecelagem),0
371,Tecelagem de cânhamo,0
372,Tecelagem de fibras têxteis naturais,0
373,"Confecção de fronhas de tecidos de fibras naturais (exceto algodão), quando integrada a tecelagem",0
374,Tecelagem de juta,0
375,Confecção de lençóis ou fronhas de tecidos de fibras naturais (exceto algodão) (quando integrada a tecelagem),0
376,Tecelagem de linho,0
377,Tecelagem de lã,0
378,Tecelagem de malva,0
379,Tecelagem de rami,0
380,"Confecção de roupas de cama, banho, mesa, copa ou cozinha de tecidos de fibras naturais (exceto algodão) (quando integrada a tecelagem)",0
381,Confecção de sacos de juta ou de outras fibras têxteis naturais para embalagem (quando integrada a tecelagem),0
382,Tecelagem de seda,0
383,Serviço de tecelagem de fios de fibras têxteis naturais,0
384,Fabricação de tecido de cetim,0
385,"Fabricação de tecido de juta, cru ou acabado (beneficiado), inclusive mesclas",0
386,"Fabricação de tecido de linho, cru ou acabado (beneficiado), inclusive mescla",0
387,"Fabricação de tecido de lã, cru ou acabado (beneficiado), inclusive mescla",0
388,"Fabricação de tecido de rami, cru ou acabado (beneficiado), inclusive mescla",0
389,"Fabricação de tecido de seda, cru ou acabado (beneficiado), inclusive mescla",0
390,"Fabricação de tecido de sisal (agave), cru ou acabado (beneficiado), inclusive mescla",0
391,Fabricação de tecidos de crina,0
392,"Fabricação de tecidos de pelos grosseiros ou de crina, puros ou mistos",0
393,Fabricação de tecidos rendados de fibras naturais (exceto algodão),0
394,Fabricação de telas de juta,0
395,Confecção de toalhas de banho ou de rosto de tecidos de fibras naturais (exceto algodão) (quando integrada a tecelagem),0
396,Confecção de toalhas de mesa ou de cozinha de tecidos de fibras naturais (exceto algodão) (quando integrada a tecelagem),0
397,Veludos e pelúcias de matérias têxteis naturais - exceto algodão,0
398,Confecção de artefatos de tecidos artificiais ou sintéticos para uso doméstico (quando integrada a tecelagem),0
399,"Confecção de artefatos de tecidos artificiais ou sintéticos, para banho, cama e mesa, copa e cozinha (quando integrada a tecelagem)",0
400,"Confecção de artefatos de tecidos de fibras artificiais ou sintéticas, para copa e cozinha, quando integrada a tecelagem",0
401,"Confecção de cobertores, mantas e edredons de tecidos de fibras artificiais ou sintéticas (quando integrada a tecelagem)",0
402,Confecção de colchas de fibras artificiais ou sintéticas (quando integrada a tecelagem),0
403,Tecelagem de fios de filamentos contínuos artificiais ou sintéticas,0
404,"Confecção de lençóis ou fronhas de tecidos de fibras artificiais ou sintéticas, quando integrada a tecelagem",0
405,Fabricação de mantas de fibras artificiais ou sintéticas agulhadas e/ou prensadas,0
406,"Confecção de roupas de cama, mesa ou banho de tecidos de fibras artificiais ou sintéticas (quando integrada a tecelagem)",0
407,"Confecção de sacos de fios de ráfia, polipropileno e outros materiais plásticos têxteis (quando integrada a tecelagem)",0
408,"Fabricação de sacos, inclusive contentores flexíveis (big-bags) para embalagem, de matérias têxteis artificiais ou sintéticas, quando integrados à tecelagem",0
409,Fabricação de tecido de fibra de vidro,0
410,Fabricação de tecido de fios de ráfia ou lâminas sintéticas,0
411,Fabricação de tecido de poliéster,0
412,Fabricação de tecido viscose,0
413,Fabricação de tecidos de fibras sintéticas descontínuas,0
414,"Fabricação de tecidos de filamentos contínuos e de fios de fibras artificiais ou sintéticas, crus ou acabados (beneficiados), inclusive mescla",0
415,"Fabricação de tecidos de filamentos de aramida e/ou de poliamida de alta tenacidade, sem fio de borracha",0
416,Fabricação de Atividade tecidos rendados de fibras sintéticas,0
417,Confecção de toalhas de banho ou de rosto de tecidos artificiais ou sintéticos (quando integrada a tecelagem),0
418,Confecção de toalhas de mesa ou de cozinha de tecidos artificiais ou sintéticos (quando integrada a tecelagem),0
419,Fabricação de veludos e pelúcias de fibras artificiais ou sintéticas,0
420,"Fabricação de tecidos de malha de algodão com elastômero, circular",0
421,"Fabricação de tecidos de malha de algodão, circular",0
422,"Fabricação de tecidos de malha de fibras artificiais ou sintéticas, circular",0
423,"Fabricação de tecidos de malha de matérias têxteis naturais, circular",0
424,"Fabricação de tecidos de malha-urdidura ou de outros tipos, de algodão",0
425,"Fabricação de tecidos de malha-urdidura ou de outros tipos, de fibras artificiais ou sintéticas",0
426,"Fabricação de tecidos de malha-urdidura ou de outros tipos, de matérias têxteis naturais",0
427,Fabricação de tecidos de malha,8054
428,Fabricação de velas para barcos,0
429,Fabricação de tecidos com fios metalizados,0
430,Fabricação de tecidos de acabamento especial - colagem em tecidos com material plástico e outros materiais,0
431,"Fabricação de feltros combinados com matérias diversas, inclusive artefatos, para usos técnicos",0
432,Fabricação de tecidos impermeáveis,0
433,Fabricação de tecidos para telas de desenhos e pinturas,0
434,Fabricação de tecidos revestidos ou impregnados,0
435,"Fabricação de tecidos revestidos ou impregnados, inclusive as entretelas",0
436,Fabricação de telas para pneumáticos fabricadas com fios sintéticos ou artificiais de alta tenacidade,0
437,Fabricação de telas para pneumáticos,0
438,Fabricação de tendas,0
439,Fabricação de toldos,0
440,Fabricação de redes de proteção contra derramamento de petróleo no mar,0
441,"Fabricação de tecido não-tecido ou falsos tecidos, de fibras naturais, artificiais ou sintéticas, mesmo acabados",0
442,Fabricação de tecidos antibacterianos,0
443,Fabricação de painéis de lona,0
444,Fabricação de pano-couro e oleados,0
445,"Fabricação de pastas, tontisses, nós e bolotas de fibras têxteis",0
446,"Fabricação de mechas para candeeiro, isqueiros, velas e semelhantes, de materiais têxteis",0
447,Fabricação de lonas e encerados,0
448,Fabricação de cortinas painéis,0
449,"Fabricação de entretelas beneficiadas (plastificadas, laminadas ou costuradas, etc)",0
450,"Fabricação de entretelas de fios naturais, artificiais ou sintéticos",0
451,Fabricação de feltros,0
452,"Fabricação de fibra moldada para estofamento (mantas de crina, fibras de coco, etc.)",0
453,Fabricação de aeroteto (toldos de lona),0
454,Fabricação de filós,0
455,Fabricação de fios e cordas de borracha recobertos de têxteis,0
456,Fabricação de fios elásticos recobertos,0
457,Fabricação de fios têxteis metalizados,0
