,CNAE,PP/GU,N° de empresas
185,Fabricação de desinfestantes domissanitários,Alto,1996
186,Fabricação de produtos de limpeza e polimento,Alto,12775
187,"Fabricação de tintas, vernizes, esmaltes e lacas",Alto,5262
188,Fabricação de tintas de impressão,Alto,247
189,"Fabricação de impermeabilizantes, solventes e produtos afins",Alto,660
190,Fabricação de defensivos agrícolas,Alto,650
191,Fabricação de produtos farmoquímicos,Alto,755
192,Fabricação de medicamentos alopáticos para uso humano,Alto,2313
193,Fabricação de medicamentos homeopáticos para uso humano,Alto,215
194,Fabricação de medicamentos fitoterápicos para uso humano,Alto,152
195,Fabricação de medicamentos para uso veterinário,Alto,902
196,Fabricação de preparações farmacêuticas,Alto,139
197,Fabricação de sabões e detergentes sintéticos,Alto,10760
198,"Fabricação de velas, inclusive decorativas",Alto,6375
199,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Alto,12316
200,Fabricação de álcool,Alto,1889
201,Frigorífico - abate de bovinos,Médio,8896
202,Frigorífico - abate de ovinos e caprinos,Médio,189
203,Frigorífico - abate de bufalinos,Médio,17
204,Abate de aves,Médio,9059
205,Abate de pequenos animais,Médio,344
206,Frigorífico - abate de suínos,Médio,1032
207,Matadouro - abate de suínos sob contrato,Médio,44
208,Fabricação de produtos de carne,Médio,19036
209,Preparação de subprodutos do abate,Médio,1311
210,Fabricação de conservas de frutas,Médio,19577
211,Fabricação de conservas de palmito,Médio,574
212,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",Médio,6146
213,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",Médio,6520
214,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Médio,6107
215,Preparação do leite,Médio,3463
216,Fabricação de laticínios,Médio,26522
217,Fabricação de sorvetes e outros gelados comestíveis,Médio,20731
218,Fabricação de açúcar em bruto,Médio,2843
219,Fabricação de açúcar de cana refinado,Médio,358
220,Fabricação de açúcar de cereais (dextrose) e de beterraba,Médio,4
221,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Médio,1596
222,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Médio,566
223,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,Médio,139
224,Fabricação de óleo de milho em bruto,Médio,5
225,Fabricação de produtos derivados do cacau e de chocolates,Médio,24214
226,Fabricação de fermentos e leveduras,Médio,134
227,Fabricação de alimentos para animais,Médio,9943
228,Fabricação de vinho,Médio,2316
229,Fabricação de vinagres,Médio,8042
230,"Fabricação de malte, inclusive malte uísque",Médio,247
231,Fabricação de cervejas e chopes,Médio,3852
232,"Fabricação de produtos para infusão (chá, mate, etc.)",Médio,2401
233,Fabricação de águas envasadas,Médio,3319
234,Fabricação de refrigerantes,Médio,2414
235,Fabricação de chá mate e outros chás prontos para consumo,Médio,136
236,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Médio,1373
237,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,Médio,801
238,Fabricação de aguardente de cana-de-açúcar,Médio,7013
239,Fabricação de outras aguardentes e bebidas destiladas,Médio,1853
240,Geração de energia elétrica,Médio,19403
241,Usinas de compostagem,Médio,546
242,Transporte ferroviário de carga,Alto,551
243,Transporte rodoviário de produtos perigosos,Alto,26141
244,"Transporte por navegação interior de carga, municipal, exceto travessia",Alto,2770
245,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",Alto,2118
246,Transporte dutoviário,Alto,384
247,Operação dos aeroportos e campos de aterrissagem,Alto,1310
248,Transporte aéreo de carga,Alto,468
249,Extração de madeira em florestas nativas,Médio,1236
250,Produção de carvão vegetal - florestas nativas,Médio,1505
251,Pesca de peixes em água salgada,Médio,3893
252,Pesca de crustáceos e moluscos em água salgada,Médio,511
253,Coleta de outros produtos marinhos,Médio,42
254,Pesca de peixes em água doce,Médio,6044
255,Pesca de crustáceos e moluscos em água doce,Médio,8
256,Coleta de outros produtos aquáticos de água doce,Médio,71
257,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",Médio,4257
258,Extração de madeira em florestas plantadas,Médio,13387
259,Produção de carvão vegetal - florestas plantadas,Médio,6904
260,Coleta de palmito em florestas nativas,Médio,107
261,Transmissão de energia elétrica,-,2880
262,Distribuição de energia elétrica,-,5066
