,box_plot,Média,Mediana,Máximo,Mínimo
175,Centro-oeste Material Particulado (MP) Manufacturing,7327.09666784495,389.0,95102.0,0.0
176,Centro-oeste Material Particulado (MP) Mining,3587.7778846583847,50.0,85151.0,0.0
177,Centro-oeste Material Particulado (MP) Trade,932.1379127826086,10.0,35145.0,0.0
178,Centro-oeste Material Particulado (MP) Transport,511.84,1.0,5808.0,0.0
179,Centro-oeste Material Particulado (MP) Construction,1669.3813559322034,27.0,35424.0,0.0
180,Centro-oeste Material Particulado (MP) Agriculture,9921.810534193548,3853.5,64842.0,0.0
181,Centro-oeste Material Particulado (MP) Government,,,,
182,Centro-oeste Material Particulado (MP) Utilities,8059.1081149090915,76.33075,95107.0,0.0
183,Centro-oeste Material Particulado (MP) OtherServices,1.0,1.0,1.0,1.0
184,Centro-oeste Material Particulado (MP) Business,2732.5,18.0,61516.0,0.0
185,Centro-oeste Material Particulado (MP) Financial,200.0,200.0,200.0,200.0
186,Centro-oeste Material Particulado (MP) RealEstate,,,,
187,Centro-oeste Monóxido de carbono (CO) Manufacturing,8391.821337833655,277.31132,99999.0,0.0
188,Centro-oeste Monóxido de carbono (CO) Mining,7620.23193818182,8.048,81303.0,0.0
189,Centro-oeste Monóxido de carbono (CO) Trade,7068.13129659091,184.5,65015.0,0.0
190,Centro-oeste Monóxido de carbono (CO) Transport,2947.3954,100.0,20000.0,0.0
191,Centro-oeste Monóxido de carbono (CO) Construction,3610.3779517460316,262.0,56000.0,0.0
192,Centro-oeste Monóxido de carbono (CO) Agriculture,10113.117647058823,3770.0,32000.0,0.0
193,Centro-oeste Monóxido de carbono (CO) Government,,,,
194,Centro-oeste Monóxido de carbono (CO) Utilities,5377.284779230768,50.0,52317.0,0.0
