,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
1850,JACUI,Trade,10,61749883.3125,3134806
1851,JACUI,Government,4,30579.24595771535,3134806
1852,JACUTINGA,Manufacturing,34,399482.466,3134905
1853,JACUTINGA,Trade,3,6053.224182481752,3134905
1854,JACUTINGA,Mining,10,22185620.61829269,3134905
1855,JAGUARACU,Manufacturing,24,192255.79725,3135001
1856,JAIBA,Manufacturing,12,9706.4859324483,3135050
1857,JAIBA,Trade,12,118080.62312430634,3135050
1858,JAIBA,OtherServices,6,1019003.0489707552,3135050
1859,JANAUBA,Manufacturing,89,169831.47,3135100
1860,JANAUBA,Trade,9,2211644.9318769085,3135100
1861,JANAUBA,Agriculture,6,855786.7866986062,3135100
1862,JANAUBA,Mining,6,614676.495339513,3135100
1863,JANUARIA,Trade,23,238955.30716332377,3135209
1864,JANUARIA,Government,12,127570.02254728095,3135209
1865,JAPARAIBA,Manufacturing,23,837525.8196969697,3135308
1866,JAPARAIBA,Trade,13,29202.283333333333,3135308
1867,JECEABA,Manufacturing,12,31326.67299285714,3135407
1868,JECEABA,Trade,13,303381.7453042825,3135407
1869,JECEABA,Utilities,7,34289.81604266157,3135407
1870,JEQUITINHONHA,Trade,19,352.867776228117,3135803
1871,JOANESIA,Trade,12,16692.949092878418,3136108
1872,JOAO MONLEVADE,Manufacturing,155,92628.3956687898,3136207
1873,JOAO MONLEVADE,Construction,12,115438.41588954828,3136207
1874,JOAO MONLEVADE,Trade,93,82083.01258,3136207
1875,JOAO MONLEVADE,Government,6,181442.0057670005,3136207
1876,JOAO MONLEVADE,Business,9,4436151.139534884,3136207
1877,JOAO PINHEIRO,Manufacturing,62,714018.785953062,3136306
1878,JOAO PINHEIRO,Trade,25,502749.91,3136306
1879,JOAO PINHEIRO,Agriculture,172,30402.7529653181,3136306
1880,JOAO PINHEIRO,Mining,5,4181.956346153846,3136306
1881,JUATUBA,Manufacturing,270,46131.03633333334,3136652
1882,JUATUBA,Trade,22,1980.791448135198,3136652
1883,JUATUBA,Utilities,6,87451518.73624125,3136652
