Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
MADRE DE DEUS,Transport,74,519622.35413706827
MADRE DE DEUS,OtherServices,4,8582.152048148186
MAIQUINIQUE,Manufacturing,34,52580.825000000004
MALHADA DE PEDRAS,Manufacturing,12,93312.90461538461
MANOEL VITORINO,Trade,6,127946.89909909907
MARAGOGIPE,Manufacturing,98,1126770.3039215687
MARAGOGIPE,Construction,11,227835.74
MASCOTE,Trade,18,9307340.184999999
MATA DE SAO JOAO,Trade,4,2938071.164921069
MEDEIROS NETO,Manufacturing,12,124477.52648295455
MEDEIROS NETO,Mining,19,55818.45670528176
MIGUEL CALMON,Mining,19,81006274.96600354
MORRO DO CHAPEU,Manufacturing,3,3991196.485
MORRO DO CHAPEU,Mining,6,4026601.8233292988
MORTUGABA,Manufacturing,8,3773593.4172339183
MUCURI,Manufacturing,68,15350.298030470272
MUCURI,Transport,10,85975.16009019167
MUCURI,Agriculture,39,6750.909483333333
MUQUEM DE SAO FRANCISCO,Manufacturing,3,489.466
NAZARE,Manufacturing,16,278900.01123148954
NOVA CANAA,Trade,4,67307627.7992278
NOVA VICOSA,Manufacturing,10,9130633.69
NOVA VICOSA,Trade,4,5445472.6327601615
NOVO HORIZONTE,Manufacturing,54,243700.40677338967
NOVO HORIZONTE,Mining,6,3622386.516
OLIVEIRA DOS BREJINHOS,Manufacturing,12,4366151.376975169
OLIVEIRA DOS BREJINHOS,Trade,6,3607086.7062119045
OUROLANDIA,Mining,14,5016388.962621885
PALMEIRAS,Manufacturing,60,622728.0430672346
PARAMIRIM,Manufacturing,10,10744.401574074074
PAULO AFONSO,Manufacturing,26,709292.2106666085
PAULO AFONSO,OtherServices,8,840087.7754331797
PINDAI,Manufacturing,3,88112545.07124579
PINTADAS,Mining,6,39161.91066666666
PLANALTO,Manufacturing,4,185831.74070373783
PLANALTO,Trade,32,28758.009588345583
POJUCA,Manufacturing,38,268554.7442384694
POJUCA,Business,9,107328.16324041813
PORTO SEGURO,Trade,17,1600.0703912647862
POTIRAGUA,Manufacturing,34,471911.27733333333
PRADO,Manufacturing,6,224079957.5342466
PRADO,Construction,6,714937.6104081633
PRESIDENTE JANIO QUADROS,Manufacturing,5,13553.40572556762
RAFAEL JAMBEIRO,Trade,24,47563.78933649288
RIACHAO DAS NEVES,Manufacturing,6,42999283.18
RIACHAO DO JACUIPE,Manufacturing,4,1572.6288645833333
RIACHAO DO JACUIPE,Trade,8,2434.4040475382885
RIACHO DE SANTANA,Manufacturing,9,714080.7571646231
RIBEIRA DO POMBAL,Trade,3,10369.76
RIO DO ANTONIO,Manufacturing,3,1562357737.828177
RUY BARBOSA,Manufacturing,67,3023.8630153621957
RUY BARBOSA,Trade,5,924725.0
RUY BARBOSA,Mining,27,10488.807
SALVADOR,Manufacturing,308,105576.44484760522
SALVADOR,Construction,296,233874.29101190477
SALVADOR,Trade,210,51069.25775131324
SALVADOR,Utilities,37,145144.35353535353
SALVADOR,Government,4,7.406332923832924
SALVADOR,Transport,116,367475.65911303996
SALVADOR,OtherServices,4,8998305.510705406
SALVADOR,Business,59,704866.8504757188
SALVADOR,Mining,6,55743.275714285715
SANTA BARBARA,Manufacturing,58,75031.88
SANTA BARBARA,Construction,15,8909819.313262058
SANTA BARBARA,Trade,17,1494.3881999999999
SANTA BARBARA,Transport,6,4194540.850765462
SANTA BARBARA,Mining,108,1124910.9194444444
SANTA LUZIA,Manufacturing,726,115749.92028571428
SANTA LUZIA,Trade,3,31976.224913201793
SANTA LUZIA,Utilities,3,1928987.6950292399
SANTA LUZIA,Government,12,3351804.5992063493
SANTA LUZIA,Business,85,2632065.279439426
SANTA LUZIA,Mining,5,342056020.9009714
SANTA MARIA DA VITORIA,Manufacturing,3,206962516.25
SANTA MARIA DA VITORIA,Mining,10,40345556.27247536
SANTA RITA DE CASSIA,Trade,12,32230.32481186894
SANTALUZ,Manufacturing,63,192114.33333333334
SANTALUZ,Mining,11,16450.8896069869
SANTO AMARO,Manufacturing,22,17709.703846153847
SANTO ANTONIO DE JESUS,Manufacturing,53,597655.9452380952
SANTO ESTEVAO,Manufacturing,52,676475.5166666667
SANTO ESTEVAO,Trade,14,33576.47316662348
SANTO ESTEVAO,Mining,4,219914.25898776797
SAO DESIDERIO,Manufacturing,52,26007.446540068115
SAO DESIDERIO,Agriculture,38,10692.852220663863
SAO DESIDERIO,OtherServices,11,7337.421333333334
SAO FRANCISCO DO CONDE,Manufacturing,26,1120632.3813262274
SAO FRANCISCO DO CONDE,Construction,34,644771.2305
SAO FRANCISCO DO CONDE,Trade,79,40704.189860618506
SAO FRANCISCO DO CONDE,Utilities,15,2166.230931068847
SAO FRANCISCO DO CONDE,Transport,11,326738.4352889648
SAO FRANCISCO DO CONDE,Business,30,29365061.97576887
SAO GONCALO DOS CAMPOS,Manufacturing,30,6541078.714285714
SAO MIGUEL DAS MATAS,Trade,6,286181912.46145064
SAO SEBASTIAO DO PASSE,Trade,4,795.6037724550898
SEABRA,Trade,12,6294820.398214285
SERRINHA,Manufacturing,44,23875.281752622275
SIMOES FILHO,Manufacturing,1242,233477.25
SIMOES FILHO,Construction,6,27180.534502130482
SIMOES FILHO,Trade,5,4805597652.15
SIMOES FILHO,Utilities,82,3562300.5709803924
SIMOES FILHO,Transport,15,27609953.735439666
SIMOES FILHO,Mining,32,1835964.266004415
SITIO DO MATO,Manufacturing,4,111095.40350877192
SITIO DO QUINTO,Trade,4,5304.735882352941
TANHACU,Manufacturing,9,155600.20529801326
TANQUE NOVO,Trade,6,560152.6410818715
TEIXEIRA DE FREITAS,Manufacturing,54,1861.5676677704196
TEIXEIRA DE FREITAS,Agriculture,40,11743.37
TEODORO SAMPAIO,Trade,26,133775.6317
UBAITABA,Mining,4,3439491.653577171
URANDI,Manufacturing,6,32874729.931840207
URANDI,Construction,3,43399.07544141252
URUCUCA,Manufacturing,30,142659.8154373928
URUCUCA,Trade,6,1333.4404083612014
VALENCA,Manufacturing,4,50837.35259615385
VALENCA,Trade,5,698909.1
VALENCA,Mining,15,231142.69528675015
VERA CRUZ,Manufacturing,4,42055.99
VERA CRUZ,Construction,8,741.2931854452601
VERA CRUZ,Trade,81,1913.685205479452
VERA CRUZ,Mining,37,40342.35931406246
VITORIA DA CONQUISTA,Manufacturing,236,1082487.4187845634
VITORIA DA CONQUISTA,Construction,56,215360.22
VITORIA DA CONQUISTA,Trade,68,467520.22593457944
VITORIA DA CONQUISTA,Utilities,4,126617839.83440171
VITORIA DA CONQUISTA,OtherServices,14,19565.927177967962
VITORIA DA CONQUISTA,Mining,20,36512.744
WENCESLAU GUIMARAES,Trade,6,109089.63040935638
XIQUE-XIQUE,Manufacturing,16,471427.2781045752
ABAIARA,Trade,4,32721.038887722254
ACARAPE,Manufacturing,13,3013.714208422994
ACARAPE,Mining,6,1015247934.1645151
ACARAU,Manufacturing,5,2139461544.2166345
ACARAU,Construction,6,43928.64259183759
ACARAU,Agriculture,6,10248.512898550724
AQUIRAZ,Manufacturing,138,29357.275
AQUIRAZ,OtherServices,6,3404877.0521944445
ARACATI,Manufacturing,33,599596.1156578276
ARACATI,Agriculture,17,129663.16666666666
BANABUIU,Manufacturing,3,495923.929184953
BARBALHA,Manufacturing,22,21412.761125104953
BARBALHA,Trade,19,15530168.394495413
BARROQUINHA,Manufacturing,4,326859.52809406054
BARROQUINHA,Agriculture,11,13143.184
BEBERIBE,Manufacturing,10,1164047.1936966632
CAMOCIM,Manufacturing,8,22818.39442
CANINDE,Mining,7,1009.4372999999999
CASCAVEL,Manufacturing,97,1051915.3813586985
CASCAVEL,Trade,3,180691.44548795428
CASCAVEL,Utilities,10,46671.53
CASCAVEL,Government,12,156234.05087500002
CASCAVEL,Transport,6,169082480.11195603
CASCAVEL,Business,6,22406830.951729644
CAUCAIA,Manufacturing,198,134444.10983367867
CAUCAIA,Trade,7,25903701.87583042
CAUCAIA,Utilities,69,7584.494112903226
CAUCAIA,Business,16,4850793.164351852
CEDRO,Trade,3,89619779.0
CRATEUS,Manufacturing,18,1011.7604703781512
CRATO,Manufacturing,79,81503.34110429448
CRATO,Trade,20,24584.64652173913
CRATO,Utilities,5,55.5208509308726
CRATO,Government,7,75602.73956807278
EUSEBIO,Manufacturing,220,123781.89819587629
EUSEBIO,Construction,5,38958.45739130435
EUSEBIO,Trade,19,30183.8853085554
EUSEBIO,Utilities,24,17751.77592318059
FORQUILHA,Manufacturing,17,82396.60029727271
FORQUILHA,Utilities,6,3842535125.936476
FORTALEZA,Manufacturing,1000,179434.56352022712
FORTALEZA,Construction,132,9330.331347082098
FORTALEZA,Trade,237,52378.40729411765
FORTALEZA,Utilities,59,14370.162333333332
FORTALEZA,Government,5,1562443.635593635
FORTALEZA,Transport,98,296186.3228632478
FORTALEZA,Agriculture,8,7.471623395625471
FORTALEZA,OtherServices,40,78797.09132692144
GUARACIABA DO NORTE,Manufacturing,6,392637063.6167539
HORIZONTE,Manufacturing,310,15165.540889012733
HORIZONTE,Agriculture,6,324294.29508400307
ICAPUI,Manufacturing,20,1828.5854418789809
ICAPUI,Trade,15,251212.9250316949
ICAPUI,Mining,59,244534.01387776888
IGUATU,Manufacturing,69,230505.42704761907
IGUATU,Trade,6,186491780.07997766
IGUATU,Government,4,737.7493869592689
IGUATU,Mining,8,94.063816
IPU,Manufacturing,6,220051109.08854544
IPU,Mining,3,26901.244447252713
ITAITINGA,Manufacturing,13,7.015933770866634
ITAITINGA,Trade,30,23086946.219541326
ITAPAJE,Manufacturing,32,86919.93896396397
ITAPAJE,Construction,5,74876.64897959183
ITAPAJE,Trade,5,164.74382233955933
ITAPIPOCA,Manufacturing,64,455460.9876178571
ITAREMA,Manufacturing,13,13522.635422962037
ITAREMA,Mining,5,2107433.0533722285
JAGUARIBE,Manufacturing,16,1474668.4567004505
JAGUARUANA,Manufacturing,34,1062004.21642764
JAGUARUANA,Construction,8,16430600.324281156
JAGUARUANA,Mining,5,412327077.2987052
JUAZEIRO DO NORTE,Manufacturing,125,16206.2228
JUAZEIRO DO NORTE,Trade,18,8434.079
JUAZEIRO DO NORTE,Utilities,4,165.42591900311527
JUAZEIRO DO NORTE,Business,4,4.370993670886076
JUCAS,Manufacturing,8,35.87161205658369
LIMOEIRO DO NORTE,Manufacturing,13,1203715.652173913
MARACANAU,Manufacturing,1199,227369.37037037036
MARACANAU,Trade,3,1260284.2296875
MARACANAU,Utilities,3,8662100.3875
MARACANAU,Transport,34,1079.5491645244215
MARACANAU,Business,29,7352.199
MARACANAU,Mining,4,124474.9226802849
MARANGUAPE,Manufacturing,97,142553.535125
MAURITI,Trade,5,1658.8933216783216
MILAGRES,Manufacturing,3,867150.6583333333
MORADA NOVA,Manufacturing,31,1071226.8618421052
MORADA NOVA,Construction,5,161.00230188679245
MORADA NOVA,Trade,10,10434640.078787878
NOVA OLINDA,Manufacturing,16,502650.7669407894
NOVA OLINDA,Trade,18,12826.126394052046
NOVA OLINDA,Mining,15,107047.24754000001
NOVA RUSSAS,Trade,3,5329937.65487821
OCARA,Manufacturing,8,2726.198653941651
PACAJUS,Manufacturing,152,133542.655
PACAJUS,Trade,5,52853792.96
PACATUBA,Manufacturing,216,1551501.62
PACATUBA,Utilities,15,108160.228
PACATUBA,Mining,24,186890.3752695652
PARACURU,Manufacturing,13,4574021.114285714
PARACURU,Trade,11,59191255.16527779
PARACURU,Mining,95,21544084.98130841
PARAIPABA,Manufacturing,6,32121.87442831216
PENTECOSTE,Manufacturing,18,3740402.712244898
PINDORETAMA,Manufacturing,3,4425061.567492375
PIQUET CARNEIRO,Construction,16,1130795.9677137467
QUIXADA,Manufacturing,103,3472890.9504166665
QUIXERAMOBIM,Manufacturing,21,3828941.7352941176
QUIXERE,Mining,3,193.8394875
REDENCAO,Manufacturing,24,191950.8363079903
REDENCAO,Trade,13,10214.24738643723
RUSSAS,Manufacturing,148,115510.25095833333
RUSSAS,Construction,8,344.4348736111111
SANTA QUITERIA,Manufacturing,11,25399435.596638657
SANTANA DO CARIRI,Mining,4,1021.2009122807018
SAO BENEDITO,Manufacturing,6,425.65478375
SAO GONCALO DO AMARANTE,Manufacturing,21,152991.01904761905
SAO GONCALO DO AMARANTE,Construction,12,647676.1682332293
SAO GONCALO DO AMARANTE,Utilities,8,366789.3166427252
SAO GONCALO DO AMARANTE,Transport,13,171240.85200721154
SAO GONCALO DO AMARANTE,Mining,3,2426.0282
SAO LUIS DO CURU,Manufacturing,3,7982392.97
SOBRAL,Manufacturing,191,45250.051210873986
SOBRAL,Trade,17,560295.3031496063
SOBRAL,OtherServices,4,8714.526733879758
SOBRAL,Mining,26,202632.1416
TIANGUA,Manufacturing,6,7930882.015291573
TRAIRI,Manufacturing,14,453071.00576241134
TURURU,Manufacturing,6,145188745.645
UBAJARA,Manufacturing,9,285938.7571428572
URUBURETAMA,Manufacturing,21,9608.552132371673
VARJOTA,Manufacturing,6,143570242.70020428
VICOSA DO CEARA,Manufacturing,6,13471753.7734
VICOSA DO CEARA,Trade,7,10104995.979289819
BRASILIA,Manufacturing,388,837163.8873102956
BRASILIA,Construction,51,137174.68902515416
BRASILIA,Trade,264,274467.1504934022
BRASILIA,Utilities,195,33527.2972972973
BRASILIA,Government,9,987502.5052631579
BRASILIA,Transport,40,9538946.673387097
BRASILIA,Agriculture,4,33.99568100852727
BRASILIA,OtherServices,10,107632.9254595744
BRASILIA,Business,19,112463.70890698896
BRASILIA,Mining,8,81080.11405295315
AFONSO CLAUDIO,Manufacturing,18,5425203.45786889
AFONSO CLAUDIO,Trade,21,817058.8081132075
AFONSO CLAUDIO,Utilities,5,770599.6533795495
AFONSO CLAUDIO,Mining,23,96713.83076923077
AGUA DOCE DO NORTE,Trade,16,1239776.36695
AGUA DOCE DO NORTE,Utilities,5,6297.766581440818
AGUA DOCE DO NORTE,Mining,11,54604.1875
AGUIA BRANCA,Manufacturing,10,807400.2867142857
AGUIA BRANCA,Utilities,5,131990.0709219858
AGUIA BRANCA,Mining,27,6140706.28313253
ALEGRE,Manufacturing,17,16249.603608333333
ALEGRE,Trade,29,8332558.074561404
ALEGRE,Mining,15,54009.362677419354
ALFREDO CHAVES,Manufacturing,60,480668.8439871033
ALFREDO CHAVES,Trade,4,79796678.88953865
ANCHIETA,Manufacturing,23,1248566.8940862315
ANCHIETA,Trade,20,79805.06148
ANCHIETA,Mining,137,87769.67380952381
APIACA,Utilities,5,34202769.23076923
ARACRUZ,Manufacturing,378,547085.1108897742
ARACRUZ,Construction,51,7889.9815900183385
ARACRUZ,Trade,66,249993.5811111111
