,Municipio,Mediana_Ecoeficiencia
402,MISSAO VELHA,9982.275041573426
403,MORADA NOVA,93.84428068878871
404,NOVA OLINDA,479.12940640932266
405,NOVA RUSSAS,785.7567567567568
406,OCARA,67033.72839884863
407,PACAJUS,185.59498919414364
408,PACATUBA,1616.057835305152
409,PACOTI,0.8493299320243011
410,PALHANO,13.586166579489863
411,PARACURU,35.591017274472165
412,PARAIPABA,154.92523802821742
413,PENTECOSTE,64.83847346445378
414,PEREIRO,488.78971080848396
415,PINDORETAMA,4190.240993326241
416,PIQUET CARNEIRO,15.05030406864607
417,PORANGA,641.07888
418,PORTEIRAS,1415.9424495434669
419,POTENGI,10395.979026722385
420,QUITERIANOPOLIS,334.8251737193764
421,QUIXADA,20.98328814230799
422,QUIXELO,23829.705427857014
423,QUIXERAMOBIM,360.2641492185196
424,QUIXERE,2141.302375
425,REDENCAO,59.19931420495405
426,RERIUTABA,12.384109777539942
427,RUSSAS,259.9243037974683
428,SANTA QUITERIA,82.12060908729437
429,SANTANA DO ACARAU,70554.63885687904
430,SANTANA DO CARIRI,188.19550143204063
431,SAO BENEDITO,1.669614342948718
432,SAO GONCALO DO AMARANTE,244.9269352283618
433,SAO JOAO DO JAGUARIBE,17.39074085877579
434,SAO LUIS DO CURU,2815.993100232946
435,SENADOR POMPEU,36171.02561149136
436,SOBRAL,292.1954073333334
437,SOLONOPOLE,319.1989048777907
438,TABULEIRO DO NORTE,36.633281168658215
439,TAMBORIL,36446.76154861174
440,TARRAFAS,342.06442173067455
441,TAUA,4450.09430932867
442,TEJUCUOCA,41.67844072433756
443,TIANGUA,1002.5610944846502
444,TRAIRI,8009.297135219361
445,TURURU,3484.6896546986304
446,UBAJARA,196.375897125
447,UMIRIM,10.854766463047742
448,URUBURETAMA,223.2006963269076
449,URUOCA,134.41908
450,VARZEA ALEGRE,190.75361395348838
451,VICOSA DO CEARA,153642.69180960796
452,BRASILIA,234.21902072300537
453,AFONSO CLAUDIO,152.428426
454,AGUA DOCE DO NORTE,634.316770198584
455,AGUIA BRANCA,339.89822457107846
456,ALEGRE,622.7624413594597
457,ALFREDO CHAVES,3176.9449750000003
458,ALTO RIO NOVO,782.3611272727272
459,ANCHIETA,382.6913538273615
460,APIACA,26.4819875
461,ARACRUZ,162.16508696376093
462,ATILIO VIVACQUA,988.5991090495093
463,BAIXO GUANDU,198.31917969567002
464,BARRA DE SAO FRANCISCO,493.9873278236915
465,BOA ESPERANCA,768.1244731182795
466,BOM JESUS DO NORTE,180.93563763825273
467,BREJETUBA,489279.5201197184
468,CACHOEIRO DE ITAPEMIRIM,324.19764425294983
469,CARIACICA,453.85066213605444
470,CASTELO,202.8564229590415
471,COLATINA,316.2367
472,CONCEICAO DA BARRA,14960.2165475
473,CONCEICAO DO CASTELO,136.87117334620956
474,DIVINO DE SAO LOURENCO,6148.093154692501
475,DOMINGOS MARTINS,44.5840296468338
476,DORES DO RIO PRETO,279.2332883396921
477,ECOPORANGA,266.0156403508772
478,FUNDAO,84.0723587169976
479,GOVERNADOR LINDENBERG,55.695149294082306
480,GUACUI,445.1037899431818
481,GUARAPARI,79.62955334042034
482,IBATIBA,372.2342051136221
483,IBIRACU,38.20314603174603
484,IBITIRAMA,185.9904115
485,ICONHA,112.36773199999999
486,IRUPI,159.01391741774262
487,ITAGUACU,191.30425149063032
488,ITAPEMIRIM,138.67941623263889
489,ITARANA,1218.3601474127913
490,IUNA,347.7315234943746
491,JAGUARE,66.86516804711945
492,JERONIMO MONTEIRO,875.490902309237
493,JOAO NEIVA,951.3544117647059
494,LARANJA DA TERRA,2543.020015
495,LINHARES,303.6301692307692
496,MANTENOPOLIS,452.036564987669
497,MARATAIZES,88.51450071225071
498,MARECHAL FLORIANO,217.14078143721886
499,MARILANDIA,50.82258454967919
500,MIMOSO DO SUL,1341.2483714285713
501,MONTANHA,520.7205907429636
502,MUNIZ FREIRE,331.6384946081039
503,MUQUI,1040.8196304036533
