,Municipio,Mediana_Ecoeficiencia
450,BEBERIBE,1257.2001662971177
451,BELA CRUZ,21743.152256944446
452,BOA VIAGEM,2134.4834003391197
453,BREJO SANTO,555.7008659520241
454,CAMOCIM,4755.837615112161
455,CAMPOS SALES,26964.265
456,CANINDE,643.3379166666666
457,CARIDADE,94.417845
458,CARIRE,47.73391551584077
459,CARIRIACU,713.03
460,CARIUS,5368.532
461,CASCAVEL,805.5747857142857
462,CATUNDA,49269.58099999999
463,CAUCAIA,478.96615042117935
464,CEDRO,543343.35
465,CHOROZINHO,1093.1770738636365
466,CRATEUS,11646.271049518995
467,CRATO,1511.2608066326156
468,CRUZ,5449.926
469,DEPUTADO IRAPUAN PINHEIRO,1606.7722608695651
470,EUSEBIO,718.9840677139576
471,FARIAS BRITO,141.3482990909091
472,FORQUILHA,27.790394736842103
473,FORTALEZA,589.6487370493137
474,FORTIM,50001.349
475,FRECHEIRINHA,39.80661333333333
476,GENERAL SAMPAIO,94.26216000000001
477,GRANJA,6326.5233333333335
478,GRANJEIRO,6672.661999999999
479,GROAIRAS,10653.165083333333
480,GUAIUBA,137.79289062499998
481,GUARACIABA DO NORTE,3509.632491496599
482,HIDROLANDIA,1593.4321807679435
483,HORIZONTE,133.91697222222223
484,IBARETAMA,19931.302666666666
485,IBIAPINA,201.1359375
486,ICAPUI,442.42369943641205
487,ICO,7734.257023809523
488,IGUATU,485.9117009966777
489,INDEPENDENCIA,58.494443640522874
490,IPAUMIRIM,8056.132799999999
491,IPU,2343.86921005291
492,IRACEMA,7653.905400000001
493,IRAUCUBA,2151.0287981555853
494,ITAICABA,1557.5322916666667
495,ITAITINGA,457.426968812475
496,ITAPAJE,683.0521891340782
497,ITAPIPOCA,698.552825
498,ITAREMA,1300.3574
499,JAGUARETAMA,2030.842992253521
500,JAGUARIBARA,73580.08939166667
501,JAGUARIBE,2404.1242635869567
502,JAGUARUANA,942.6201
503,JARDIM,7650.429870588235
504,JATI,13915.0955
505,JIJOCA DE JERICOACOARA,5901.283181818181
506,JUAZEIRO DO NORTE,1906.6112648345952
507,JUCAS,7335.7
508,LAVRAS DA MANGABEIRA,5312.583974735606
509,LIMOEIRO DO NORTE,880.75
510,MARACANAU,146.9433528157393
511,MARANGUAPE,401.9217923137643
512,MARCO,1016.9537041774893
513,MASSAPE,1487.837091222031
514,MAURITI,2554.636
515,MILAGRES,1742.261376923077
516,MILHA,1998.1294999999998
517,MIRAIMA,189059.49198809522
518,MISSAO VELHA,933.4064618333333
519,MOMBACA,1522.3881
520,MORADA NOVA,298.61898672839504
521,MORRINHOS,157.87388270902403
522,MULUNGU,193.82174496644296
523,NOVA OLINDA,408.67347792998476
524,NOVA RUSSAS,255.56177402323127
525,OCARA,1396.2643152109326
526,OROS,21981.563291666665
527,PACAJUS,203.45468811881187
528,PACATUBA,1022.2378975764962
529,PACOTI,67331.23106666666
530,PALHANO,4.919339714285714
531,PARACURU,786.0609104651162
532,PARAIPABA,283.7299026584867
533,PARAMBU,1026.0745
534,PEDRA BRANCA,2322.26146
535,PENAFORTE,5114.652232432433
536,PENTECOSTE,272.47358629410104
537,PEREIRO,1318.9686666666666
538,PINDORETAMA,655.2035652173913
539,PIQUET CARNEIRO,3370.6019166666665
540,PORANGA,4254.673589927412
541,PORTEIRAS,8306.326571428572
542,POTENGI,71.60994841735054
543,POTIRETAMA,1097.2990311111112
544,QUITERIANOPOLIS,155.279884296595
545,QUIXADA,1653.618
546,QUIXELO,4914.166049593285
547,QUIXERAMOBIM,735.8888199999999
548,QUIXERE,361.8998875
549,REDENCAO,560.822380952381
550,RUSSAS,775.1566666666666
551,SANTA QUITERIA,1053.1507277964997
552,SANTANA DO ACARAU,100.86639524806817
553,SANTANA DO CARIRI,1877.246279920635
554,SAO BENEDITO,11261.855062499999
555,SAO GONCALO DO AMARANTE,242.47508
556,SAO JOAO DO JAGUARIBE,57299.9151
557,SAO LUIS DO CURU,1010.2586666666666
558,SENADOR POMPEU,319.1277666666667
559,SOBRAL,641.3616222222222
560,SOLONOPOLE,425.8606648648649
561,TABULEIRO DO NORTE,7477.848025
